name,smiles,inchikey,set
LEVODOPA,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,WTDRDQBEARUVNC-LURJTMIESA-N,endogenous
PALMIDROL,CCCCCCCCCCCCCCCC(=O)NCCO,HXYVTAGFYLMHSO-UHFFFAOYSA-N,endogenous
SPERMINE,NCCCNCCCCNCCCN,PFNFFQXMRSDOHW-UHFFFAOYSA-N,endogenous
DOPAMINE,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N,endogenous
TRYPTAMINE,NCCc1c[nH]c2ccccc12,APJYDQYYACXCRM-UHFFFAOYSA-N,endogenous
tretinoin,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,SHGAZHPCJJPHSC-YCNIQYBTSA-N,endogenous
Vitamin A,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,FPIPGXGPPPQFEQ-OVSJKPMPSA-N,endogenous
L-glutamine,NC(=O)CC[C@H](N)C(=O)O,ZDXPYRJPNDTMRX-VKHMYHEASA-N,endogenous
LEVOTHYROXINE,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,XUIIKFGFIJCVMT-LBPRGKRZSA-N,endogenous
MELATONIN,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,DRLFMBDRBRZALE-UHFFFAOYSA-N,endogenous
kynurenic acid,O=C(O)c1cc(O)c2ccccc2n1,HCZHHEIFKROPDY-UHFFFAOYSA-N,endogenous
NADIDE,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,BAWFJGJZGIEFAR-NNYOXOHSSA-N,endogenous
TRYPTOPHAN,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,QIVBCDIJIAJPQS-VIFPVBQESA-N,endogenous
TYRAMINE,NCCc1ccc(O)cc1,DZGWFCGJZKJUFP-UHFFFAOYSA-N,endogenous
adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,OIRDTQYFTABQOQ-KQYNXXCUSA-N,endogenous
D-serine,N[C@H](CO)C(=O)O,MTCFGRXMJLQNBG-UWTATZPHSA-N,endogenous
progesterone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,RJKFOVLPORLFTN-LEKSSAKUSA-N,endogenous
DEXFOSFOSERINE,N[C@@H](COP(=O)(O)O)C(=O)O,BZQFBWGGLXLEPQ-REOHCLBHSA-N,endogenous
HYDROCORTISONE,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,JYGXADMDTFJGBT-VWUMJDOOSA-N,endogenous
estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,DNXHEGUUPJUMQT-CBZIJGRNSA-N,endogenous
ESTRADIOL,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,VOXZDWNPVJITMN-ZBRFXRBCSA-N,endogenous
CORTICOSTERONE,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,OMFXVFTZEKFJBZ-HJTSIMOOSA-N,endogenous
ASPARTIC ACID,N[C@@H](CC(=O)O)C(=O)O,CKLJMWTZIZZHCS-REOHCLBHSA-N,endogenous
CYCLIC ADENOSINE MONOPHOSPHATE,Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)(O)O[C@H]2[C@H]1O,IVOMOUWHDPKRLL-KQYNXXCUSA-N,endogenous
ARGININE,N=C(N)NCCC[C@H](N)C(=O)O,ODKSFYDXXFIFQN-BYPYZUCNSA-N,endogenous
GAMMA-AMINOBUTYRIC ACID,NCCCC(=O)O,BTCSSZJGUNDROE-UHFFFAOYSA-N,endogenous
testosterone,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,endogenous
ALPROSTADIL,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,GMVPRGQOIOIIMI-DWKJAMRDSA-N,endogenous
CALCITRIOL,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O,GMRQFYUYWCNGIN-NKMMMXOESA-N,endogenous
racepinefrine,CNCC(O)c1ccc(O)c(O)c1,UCTWMZQNUQWSLP-UHFFFAOYSA-N,endogenous
MYRISTIC ACID,CCCCCCCCCCCCCC(=O)O,TUNFSRHWOTWDNC-UHFFFAOYSA-N,endogenous
FARNESYL DIPHOSPHATE,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,VWFJDQUYCIWHTN-YFVJMOTDSA-N,endogenous
9(S)-HODE,CCCCC/C=C\C=C\[C@@H](O)CCCCCCCC(=O)O,NPDSHTNEKLQQIJ-UINYOVNOSA-N,endogenous
ARACHIDONIC ACID,CCCCC/C=C\C/C=C\C/C=C/C/C=C\CCCC(=O)O,YZXBAPSDXZZRGB-AVHBIOJASA-N,endogenous
DEOXYCHOLIC ACID,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C,KXGVEGMKQFWNSR-LLQZFEROSA-N,endogenous
ISOPENTENYL PYROPHOSPHATE,C=C(C)CCO[P@@](=O)(O)OP(=O)(O)O,NUHSROFQTUXZQQ-UHFFFAOYSA-N,endogenous
7beta-hydroxycholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@H](O)CC1=C[C@@H]3O,OYXZMSRRJOYLLO-KGZHIOMZSA-N,endogenous
25-hydroxycholesterol,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,INBGSXNNRGWLJU-ZHHJOTBYSA-N,endogenous
ALDOSTERONE,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)[C@@H](C(=O)CO)CC[C@@H]12,PQSUYGKTWSAVDQ-ZVIOFETBSA-N,endogenous
ICOMUCRET,CCCCC[C@H](O)/C=C/C=C\C/C=C/C/C=C\CCCC(=O)O,JSFATNQSLKRBCI-VIHQAMSXSA-N,endogenous
Pyruvaldehyde,CC(=O)C=O,AIJULSRZWUXGPQ-UHFFFAOYSA-N,endogenous
butyric acid,CCCC(=O)O,FERIUCNNQQJTOY-UHFFFAOYSA-N,endogenous
SPERMIDINE,NCCCCNCCCN,ATHGHQPFGPMSJY-UHFFFAOYSA-N,endogenous
L-lysine,NCCCC[C@H](N)C(=O)O,KDXKERNSBIXSRK-YFKPBYRVSA-N,endogenous
propanoic acid,CCC(=O)O,XBDQKXXYIPTUBI-UHFFFAOYSA-N,endogenous
BETA-ALANINE,NCCC(=O)O,UCMIRNVEIXFBKS-UHFFFAOYSA-N,endogenous
D-aspartic acid,N[C@H](CC(=O)O)C(=O)O,CKLJMWTZIZZHCS-UWTATZPHSA-N,endogenous
GERANYL DIPHOSPHATE,CC(C)=CCC/C(C)=C/CO[P@@](=O)(O)OP(=O)(O)O,GVVPGTZRZFNKDS-JXMROGBWSA-N,endogenous
PLATELET ACTIVATING FACTOR,CCCCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(C)=O,HVAUUPRFYPCOCA-AREMUKBSSA-N,endogenous
PROSTAGLANDIN D2,CCCCC[C@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,BHMBVRSPMRCCGG-OUTUXVNYSA-N,endogenous
PUTRESCINE,NCCCCN,KIDHWZJUCRJVML-UHFFFAOYSA-N,endogenous
ALANINE,C[C@H](N)C(=O)O,QNAYBMKLOCPYGJ-REOHCLBHSA-N,endogenous
DIMETHYLALLYL DIPHOSPHATE,CC(C)=CCO[P@@](=O)(O)OP(=O)(O)O,CBIDRCWHNCKSTO-UHFFFAOYSA-N,endogenous
